,launch_name,year_name,base_colour,trend_colour,trend_index,image_path,rgb
0,FALL,2017,SILVER,METALLIC_SILVER,01,img\2017\FALL\METALLIC_SILVER-01.PNG,"(189.5372255338144, 180.36969347951057, 174.61204795954404)"
1,FALL,2017,SILVER,METALLIC_SILVER,02,img\2017\FALL\METALLIC_SILVER-02.PNG,"(174.03623285510272, 173.9563041354493, 174.4527701857895)"
2,FALL,2017,SILVER,METALLIC_SILVER,03,img\2017\FALL\METALLIC_SILVER-03.PNG,"(138.7285557790822, 144.81594789278796, 152.42907814494913)"
3,FALL,2017,SILVER,METALLIC_SILVER,04,img\2017\FALL\METALLIC_SILVER-04.PNG,"(217.7582972866769, 217.7582972866769, 217.7060012050548)"
4,FALL,2017,SILVER,METALLIC_SILVER,05,img\2017\FALL\METALLIC_SILVER-05.PNG,"(202.68900706322768, 202.6717015002346, 204.71355670629774)"
5,FALL,2017,PINK,PRETTY_PINK,01,img\2017\FALL\PRETTY_PINK-01.PNG,"(241.1177926501415, 197.24788080676498, 206.0118707162727)"
6,FALL,2017,PINK,PRETTY_PINK,02,img\2017\FALL\PRETTY_PINK-02.PNG,"(235.43563778630246, 208.84796142781968, 203.00935534903957)"
7,FALL,2017,PINK,PRETTY_PINK,03,img\2017\FALL\PRETTY_PINK-03.PNG,"(236.45058267598714, 199.38099354496816, 192.57556550501906)"
8,FALL,2017,PINK,PRETTY_PINK,04,img\2017\FALL\PRETTY_PINK-04.PNG,"(218.95744472878962, 165.77657119725347, 158.08720957991054)"
9,FALL,2017,PINK,PRETTY_PINK,05,img\2017\FALL\PRETTY_PINK-05.PNG,"(228.10269262962996, 178.93585762752238, 170.4355500427957)"
10,FALL,2017,PINK,PRETTY_PINK,06,img\2017\FALL\PRETTY_PINK-06.PNG,"(198.36038175297125, 163.32973307567232, 161.21641844133757)"
11,FALL,2017,PINK,PRETTY_PINK,07,img\2017\FALL\PRETTY_PINK-07.PNG,"(226.82851199005634, 174.03175396353643, 160.16323875105462)"
